Date,p (mbar),T (degC),Tpot (K),Tdew (degC),rh (%),VPmax (mbar),VPact (mbar),VPdef (mbar),sh (g/kg),H2OC (mmol/mol),rho (g/m3),wv (m/s),max. wv (m/s),wd (deg),rain (mm),raining (s),SWDR (W/m2),PAR (µmol/m2/s),max. PAR (µmol/m2/s),Tlog (degC),CO2 (ppm)
01-01-2017,993.2962238,-3.362447552,270.3195804,-7.272097902,74.95335664,4.881888112,3.554685315,1.327412587,2.229370629,3.58006993,1281.005175,0.886013986,1.605804196,178.8674126,0,0,58.55111888,90.9251049,94.17601399,10.09902098,443.8636364
02-01-2017,991.6122222,-0.730416667,273.0872222,-2.93375,85.04722222,5.806527778,4.941736111,0.864027778,3.105555556,4.983125,1265.621597,1.878055556,3.373055556,209.6361111,0.002083333,121.9444444,19.53659722,37.85930556,46.84527778,10.44055556,428.8826389
03-01-2017,992.5826389,1.384097222,275.1300694,-1.990069444,78.2125,6.762847222,5.280555556,1.482847222,3.316111111,5.320555556,1256.946806,2.392569444,4.875902778,232.8298611,0,15.55555556,22.89013889,48.07618056,54.29680556,11.75208333,415.1145833
04-01-2017,981.1205556,2.290972222,276.9565972,-1.145486111,78.13763889,7.220208333,5.630555556,1.590069444,3.577638889,5.739305556,1238.148333,3.666111111,7.208125,250.6791667,0.010416667,27.98611111,27.24541667,53.14368056,80.150625,11.85638889,411.5638889
05-01-2017,998.8961806,-3.516111111,269.735625,-6.855486111,77.93722222,4.745208333,3.679722222,1.065902778,2.295625,3.685416667,1288.820625,2.322013889,4.481527778,147.0922917,0.007638889,179.6527778,24.19659722,49.50125,58.52770833,8.594652778,413.4604167
06-01-2017,1012.505486,-8.657569444,263.5638889,-12.078125,76.67861111,3.210347222,2.417430556,0.793194444,1.485902778,2.387291667,1332.393125,0.969305556,1.704652778,194.0501389,0,0,57.04076389,100.864375,104.9413889,9.139652778,420.6472222
07-01-2017,1004.709444,-8.054722222,264.755,-11.68548611,77.07868056,3.450138889,2.575694444,0.874236111,1.597916667,2.565902778,1319.299236,1.790416667,2.8825,186.7777778,0.002083333,132.0138889,23.83034722,51.95208333,57.03708333,8.335486111,424.6076389
08-01-2017,1000.956389,-1.345902778,271.74,-2.070555556,94.78888889,5.572430556,5.282916667,0.289930556,3.288541667,5.276527778,1280.317569,0.854930556,1.586527778,145.4366667,0.002083333,137.4305556,14.98166667,25.86465278,28.45902778,10.81423611,438.8590278
09-01-2017,998.390625,-0.510625,272.7757639,-2.527013889,86.61180556,5.885347222,5.097291667,0.788194444,3.181041667,5.103958333,1273.166875,1.306527778,2.060763889,195.2372917,0,0,14.02173611,30.68548611,32.54895833,11.77569444,432.1763889
10-01-2017,986.4916667,-1.358611111,272.8616667,-5.193055556,75.34423611,5.546805556,4.156458333,1.390486111,2.624444444,4.213333333,1262.368403,2.768194444,4.274097222,177.8590278,0,0,57.99083333,106.1641667,110.00625,10.28222222,424.5138889
